,Music1,Music2,Distance
430,Blurred Lines,Despacito,16.74420995090044
431,Blurred Lines,Earth Angel,61.40098975093445
432,Blurred Lines,Fernando,100.62428715087363
433,Blurred Lines,Gangnam Style,9.75315342421582
434,Blurred Lines,Girls Like You,71.06001172476742
435,Blurred Lines,Grenade,33.080934659771614
436,Blurred Lines,Havana,10.287277553828426
437,Blurred Lines,Hips Don't Lie,32.99824441573715
438,Blurred Lines,I Took a Pill in Ibiza,38.35206825468861
439,Blurred Lines,I Want to Hold Your Hand,28.267064913638638
440,Blurred Lines,I Will Always Love You,11.108064715019406
441,Blurred Lines,I'm a Believer,28.744806224444215
442,Blurred Lines,If I Didn't Care,122.28180962160774
443,Blurred Lines,In the Summertime,109.39014807248581
444,Blurred Lines,Kung Fu Fighting,36.69700538419251
445,Blurred Lines,Lean On,32.23485128567398
446,Blurred Lines,Let It Go,107.12402058417095
447,Blurred Lines,Love Me like You Do,22.522524432575068
448,Blurred Lines,Love on the Brain,80.05530389320832
449,Blurred Lines,Love Yourself,73.02895874941069
450,Blurred Lines,Macarena,105.59506715531144
451,Blurred Lines,Moves Like Jagger,142.59553353146788
452,Blurred Lines,Mundian To Bach Ke,66.06855788655376
453,Blurred Lines,My Heart Will Go On,10.017136765942277
454,Blurred Lines,My Sharona,24.916807199589798
455,Blurred Lines,My Sweet Lord,19.17065084245548
456,Blurred Lines,Needed Me,75.47410179874252
457,Blurred Lines,Old Town Road,20.755545308980224
458,Blurred Lines,One Dance,27.94687141158585
459,Blurred Lines,Right Round,52.362074620599685
460,Blurred Lines,Rock Around the Clock,37.30090406231379
461,Blurred Lines,Rock Your Baby,96.84070362592904
462,Blurred Lines,Rolling in the Deep,21.89778721406013
463,Blurred Lines,Rudolph the Red-Nosed Reindeer,39.80026235529919
464,Blurred Lines,See You Again,60.87505426450995
465,Blurred Lines,Shape of You,14.086708103130308
466,Blurred Lines,Silent Night,43.63770930894409
467,Blurred Lines,Somebody That I Used to Know,11.408332800099151
468,Blurred Lines,Something Just Like This,63.782362313228795
469,Blurred Lines,Sugar,21.82506423673358
470,Blurred Lines,Sukiyaki,20.026834781215367
471,Blurred Lines,Sweet Mother,159.54066421741365
472,Blurred Lines,Tennessee Waltz,81.31069496047117
473,Blurred Lines,The Last Farewell,133.3466333062601
474,Blurred Lines,Thinking Out Loud,34.50211457193809
