,Article_1,Article_2,Similarity
402,Bei Mir Bist Du Schön,We Are the World,0.8052397589543275
403,Bei Mir Bist Du Schön,Y.M.C.A.,0.8113808973472715
404,Bei Mir Bist Du Schön,"Yes Sir, I Can Boogie",0.8363150070925733
405,Bei Mir Bist Du Schön,You're the One That I Want,0.8674925043086288
406,Blurred Lines,Call Me Maybe,0.9505489677930067
407,Blurred Lines,Chirpy Chirpy Cheep Cheep,0.8774794957710674
408,Blurred Lines,Dance Monkey,0.851864813598298
409,Blurred Lines,Despacito,0.9523612494697418
410,Blurred Lines,Earth Angel,0.9320433557268073
411,Blurred Lines,Gangnam Style,0.903909155772878
412,Blurred Lines,Girls Like You,0.9590735724330517
413,Blurred Lines,Grenade,0.7512882879620116
414,Blurred Lines,Havana,0.8056075041573248
415,Blurred Lines,Hips Don't Lie,0.9389293664290147
416,Blurred Lines,I Took a Pill in Ibiza,0.923962581671832
417,Blurred Lines,I Want to Hold Your Hand,0.8877422067355732
418,Blurred Lines,I Will Always Love You,0.9043225832976036
419,Blurred Lines,I'm a Believer,0.9194244936816525
420,Blurred Lines,If I Didn't Care,0.824408154327237
421,Blurred Lines,In the Summertime,0.874569975145565
422,Blurred Lines,Kung Fu Fighting,0.9072839329066043
423,Blurred Lines,Lean On,0.9356778398371249
424,Blurred Lines,Let It Go,0.9151552354060215
425,Blurred Lines,Love Me like You Do,0.9236844089799109
426,Blurred Lines,Love on the Brain,0.9622976103074782
427,Blurred Lines,Love Yourself,0.9601478796203341
428,Blurred Lines,Macarena,0.8843758042234727
429,Blurred Lines,Moves Like Jagger,0.9702240212239079
430,Blurred Lines,Mundian To Bach Ke,0.846437725814762
431,Blurred Lines,My Heart Will Go On,0.9428464994525033
432,Blurred Lines,My Sharona,0.9271034850563571
433,Blurred Lines,My Sweet Lord,0.9309253813837818
434,Blurred Lines,Needed Me,0.9409877531615582
435,Blurred Lines,Old Town Road,0.9110751708542918
436,Blurred Lines,One Dance,0.9314549379572019
437,Blurred Lines,Right Round,0.942369858552706
438,Blurred Lines,Rock Around the Clock,0.9298845275641135
439,Blurred Lines,Rock Your Baby,0.8832749098316416
440,Blurred Lines,Rolling in the Deep,0.9566732964074811
441,Blurred Lines,Rudolph the Red-Nosed Reindeer,0.8177177970460437
442,Blurred Lines,See You Again,0.939917406891137
443,Blurred Lines,Shape of You,0.9487197006167617
444,Blurred Lines,Silent Night,0.9023561448605432
445,Blurred Lines,Somebody That I Used to Know,0.9249736443843616
446,Blurred Lines,Something Just Like This,0.924558199872444
447,Blurred Lines,Sweet Mother,0.9298165895419634
448,Blurred Lines,Tennessee Waltz,0.9073791002486735
449,Blurred Lines,The Last Farewell,0.8392871993319629
450,Blurred Lines,Thinking Out Loud,0.9572516044909437
451,Blurred Lines,Thrift Shop,0.9572134707793264
452,Blurred Lines,Un-Break My Heart,0.9482492267119098
453,Blurred Lines,Uptown Funk,0.9679533486208821
454,Blurred Lines,Wabash Cannonball,0.8992040262714489
455,Blurred Lines,Waka Waka (This Time for Africa),0.9496053040740682
456,Blurred Lines,We Are the World,0.8830819529376955
457,Blurred Lines,Y.M.C.A.,0.8643552570141444
